,Full Address,Lat,Lon,Lead,Arsenic
322,"NelsonRanchLoop,AndersonMillRd.,Austin,TX",30.45491,-97.7706,0,0
323,"I-35,Flores,Austin,TX",30.25374,-97.73625,10,0
324,"Hatley,Wallis,Austin,TX",30.27698,-97.78379,17,0
325,"GreatValley,Danridge,Austin,TX",30.2766,-97.69839,10,0
326,"Wm.Cannon,TXHwy71,Austin,TX",30.23676,-97.83763,16,0
327,"55th,Chesterfield,Austin,TX",30.3213,-97.72283,20,0
328,"Mopac,Wm.Cannon,Austin,TX",30.18106,-97.75034,16,0
329,"Brentwood,Elwood,Austin,TX",30.33759,-97.72889,31,0
330,"Rowood,AirportBlvd.,Austin,TX",30.29929,-97.71081,20,0
331,"Airport,53rd,Austin,TX",30.31403,-97.71503,39,0
332,"Airport,45th,Austin,TX",30.30362,-97.716,0,0
333,"ChisolmLn.,Slaughter,Austin,TX",30.20064,-97.87165,11,0
334,"Chisolm,Slaughter(front),Austin,TX",30.20064,-97.87165,17,0
335,"ChisolmLn.,Slaughter,Austin,TX",30.20064,-97.87165,20,0
336,"51st,183,Austin,TX",30.29232,-97.66411,0,0
337,"51st,183,Austin,TX",30.29232,-97.66411,0,0
338,"Bluebonnet,Lund,Austin,TX",30.25159,-97.77413,0,0
339,"Grover,Romer,Austin,TX",30.33193,-97.72748,38,0
340,"45th,Sunshine,Austin,TX",30.32939,-97.72704,12,0
341,"PonchaPass,LaConchaPass,Austin,TX",30.2264,-97.87693,12,0
342,"PonchaPass,LaConchaPass,Austin,TX",30.2264,-97.87693,0,0
343,"Plymouth,Jameson,Austin,TX",30.357,-97.70922,12,0
344,"Westview,Lucas,Austin,TX",30.3338,-97.7638,40,21
345,"45th,Depew,Austin,TX",30.30437,-97.71869,12,0
346,"9th,Chicon,Austin,TX",30.26419,-97.72138,57,0
347,"Slaughter,Manchaca,Austin,TX",30.20064,-97.87165,30,0
348,"WallyAve.,Springdale,Austin,TX",30.28174,-97.68533,46,0
349,"Chicon,11th,Austin,TX",30.26606,-97.72053,86,0
350,"Chicon,7th,Austin,TX",30.26255,-97.72215,15,9
351,"Chalmers,11th,Austin,TX",30.26677,-97.72253,43,0
352,"10th,Menden,Austin,TX",30.27069,-97.73753,24,0
353,"Teakwood,ShadowwoodDr.,Austin,TX",30.35864,-97.72581,25,12
354,"Saddle,BlackAngus,Austin,TX",30.42275,-97.73079,9,0
355,"CaesarChavez,Chicon,Austin,TX",30.25712,-97.72464,19,9
356,"I-H290,McArthurDr.,Austin,TX",,,12,0
357,"1st,Stassney,Austin,TX",30.20844,-97.78154,15,0
358,"Bolm,Perry,Austin,TX",30.2565,-97.68664,11,0
